property,type,cardinality,definition,vocabulary,maturity,sensitivity,category,age_applicability,valid_instruments
identifiers,concept:Identifier,multiple,"Identifiers carried by this entity, such as national ID numbers, program IDs, or identifiers asserted by an identity document.",,normative,,identity,,
subject,concept:Party,single,"The person or group that the profile or scoring event is about. Ranged at Party (not Agent) because Profiles observe receivers: persons and organised groups of persons (Household, Family, Farm). Institutional actors (Organizations) are described through their own Organization records, not as subjects of a Profile.",,draft,,,,
observation_date,date,single,The date on which the profile data was collected (when the instrument was administered or the measurement taken).,,draft,,,,
performed_by,concept:Agent,single,"The agent (enumerator, field officer, or agency) accountable for administering the instrument or taking the measurement. Typically a Person or an Organization. When a software tool captured or derived the data, record it separately as software_used; performed_by identifies who is responsible, not what ran the capture.",,draft,,,,
instrument_used,concept:Instrument,single,"Reference to the instrument (survey form, questionnaire, screening protocol, measurement procedure) administered in this profile record.",,draft,,,,
software_used,concept:SoftwareAgent,single,"The software that performed this step, recorded so the result can be reproduced or audited. Distinct from the accountable evaluator or performer (the person or organisation responsible), which is recorded separately.",,draft,,,,
administration_mode,string,single,"How the instrument was administered to the subject: self-report, proxy-report (someone else answering about the subject), assisted (the subject answering with help), or mixed. Washington Group analytical guidance recommends disaggregating prevalence by administration mode because proxy responses systematically underreport difficulty.",administration-mode,draft,,,,
respondent,concept:Person,single,"The person who provided the answers to the instrument, when different from the subject. Required whenever the administration mode is proxy or assisted.",,draft,,,,
respondent_relationship,string,single,"The relationship of the respondent to the subject (parent, spouse, guardian, caregiver, etc.). Uses relationship-type because it describes a person-to-person relationship, not a role within a group. Required whenever the administration mode is proxy or assisted.",relationship-type,draft,,,,
items_asked,string,multiple,"The PublicSchema property IDs that were actually asked during this administration. Lets adopters distinguish items that were asked and declined (answer absent) from items that were not asked at all. When omitted, the item set is assumed to be the default item_set of the instrument used. The intended producer is the form compiler or collection server, which populates this list from the form definition at submission time.",,draft,,,,
dwelling_type,string,single,"The type of dwelling occupied by the household (e.g., permanent structure, temporary shelter, shared housing).",dwelling-type,candidate,,housing,,
floor_material,string,single,The primary material of the floor in the household's dwelling.,floor-material,draft,,housing,,
wall_material,string,single,The primary material of the exterior walls in the household's dwelling.,wall-material,draft,,housing,,
roof_material,string,single,The primary material of the roof in the household's dwelling.,roof-material,draft,,housing,,
water_source,string,single,The main source of drinking water used by the household.,water-source,draft,,wash,,
sanitation_facility,string,single,The type of toilet or sanitation facility used by the household.,sanitation-facility,draft,,wash,,
electricity_access,boolean,single,Whether the household has access to electricity from any source.,,draft,,energy,,
damage_level,string,single,"Severity of physical damage to the assessed dwelling, observed during a post-shock structural assessment. Recorded against a standardized five-tier scale aligned with IOM Displacement Tracking Matrix labels.",shelter-damage-level,draft,,shelter,,"iasc_mira, iom_dtm_household, shelter_cluster_rna, reach_msna, pdna_housing"
habitability_status,string,single,"Programming-facing judgement of whether the assessed dwelling can currently be occupied and what category of shelter response it requires. Distinct from damage_level: a moderately damaged structure may still be habitable, and a lightly damaged one may be vacated for other reasons.",habitability-status,draft,,habitability,,"shelter_cluster_rna, reach_msna, pdna_housing"
current_shelter_type,string,single,"Type of shelter arrangement the household is currently occupying at the time of assessment. Complements dwelling_type (which records the household's usual dwelling) by recording where the household is actually living now, particularly when the original dwelling is damaged, inaccessible, or vacated.",shelter-situation-type,draft,sensitive,habitability,,"iom_dtm_household, shelter_cluster_rna, reach_msna, pdna_housing"
structural_safety_assessment,string,single,"Optional structural safety tag assigned by a qualified engineer or trained shelter assessor, using the ATC-20 green/yellow/red taxonomy. Frequently null: a household enumerator is not expected to assign a structural safety tag, and many post-shock administrations do not include a structural inspector visit.",structural-safety-tag,draft,,shelter,,"shelter_cluster_rna, pdna_housing"
essential_items_missing,string,multiple,Categories of non-food items the household currently lacks and would need to meet minimum shelter and settlement standards. Multi-select across the Sphere 2018 minimum NFI package.,nfi-item-type,draft,,nfi,,"iasc_mira, iom_dtm_household, shelter_cluster_rna, reach_msna, pdna_housing"
reconstruction_intent,string,single,"The household's stated intent regarding the damaged dwelling: repair in place, rebuild in place, relocate, unable to act without external support, or undecided. Used by recovery programming to target repair grants, reconstruction grants, and relocation assistance.",reconstruction-intent,draft,,recovery,,"iom_dtm_household, pdna_housing, reach_msna"
services_disrupted,string,multiple,"Essential services (water, sanitation, electricity, telecommunications) that are currently degraded at the household's dwelling after the shock. Multi-select. Codes cover both full outage and partial-function cases: water may be absent, intermittent, or present-but-unsafe; sanitation may be unusable or present-but-overflowing; electricity may be absent or intermittent. Distinct from the household's baseline service infrastructure type, which is recorded by water_source, sanitation_facility, and electricity_access.",service-disruption-type,draft,,wash,,"iasc_mira, iom_dtm_household, reach_msna"
triggering_hazard_event,concept:HazardEvent,single,"The hazard event that triggered this record. On DwellingDamageProfile the referenced HazardEvent identifies the flood, earthquake, cyclone, drought, conflict event, or other shock the post-shock assessment is responding to. A record may omit this property when the damage is chronic or not attributable to a single event.",,draft,sensitive,hazard_event,,"iasc_mira, iom_dtm_household, shelter_cluster_rna, reach_msna, pdna_housing"
location_of_assessment,concept:Location,single,"The physical location where the post-shock assessment was carried out, typically the location of the assessed dwelling. Distinct from Household.location (which is the household's registered administrative or coordinate location): the two may differ if the household has displaced, relocated, or is temporarily sheltering elsewhere while the assessed structure remains at its registered site.",,draft,sensitive,location,,"iasc_mira, iom_dtm_household, shelter_cluster_rna, reach_msna, pdna_housing"
