property,type,cardinality,definition,vocabulary,maturity,sensitivity,category,age_applicability,valid_instruments
identifiers,concept:Identifier,multiple,"Identifiers carried by this entity, such as national ID numbers, program IDs, or identifiers asserted by an identity document.",,normative,,identity,,
subject,concept:Party,single,"The person or group that the profile or scoring event is about. Ranged at Party (not Agent) because Profiles observe receivers: persons and organised groups of persons (Household, Family, Farm). Institutional actors (Organizations) are described through their own Organization records, not as subjects of a Profile.",,draft,,,,
observation_date,date,single,The date on which the profile data was collected (when the instrument was administered or the measurement taken).,,draft,,,,
performed_by,concept:Agent,single,"The agent (enumerator, field officer, or agency) accountable for administering the instrument or taking the measurement. Typically a Person or an Organization. When a software tool captured or derived the data, record it separately as software_used; performed_by identifies who is responsible, not what ran the capture.",,draft,,,,
instrument_used,concept:Instrument,single,"Reference to the instrument (survey form, questionnaire, screening protocol, measurement procedure) administered in this profile record.",,draft,,,,
software_used,concept:SoftwareAgent,single,"The software that performed this step, recorded so the result can be reproduced or audited. Distinct from the accountable evaluator or performer (the person or organisation responsible), which is recorded separately.",,draft,,,,
administration_mode,string,single,"How the instrument was administered to the subject: self-report, proxy-report (someone else answering about the subject), assisted (the subject answering with help), or mixed. Washington Group analytical guidance recommends disaggregating prevalence by administration mode because proxy responses systematically underreport difficulty.",administration-mode,draft,,,,
respondent,concept:Person,single,"The person who provided the answers to the instrument, when different from the subject. Required whenever the administration mode is proxy or assisted.",,draft,,,,
respondent_relationship,string,single,"The relationship of the respondent to the subject (parent, spouse, guardian, caregiver, etc.). Uses relationship-type because it describes a person-to-person relationship, not a role within a group. Required whenever the administration mode is proxy or assisted.",relationship-type,draft,,,,
items_asked,string,multiple,"The PublicSchema property IDs that were actually asked during this administration. Lets adopters distinguish items that were asked and declined (answer absent) from items that were not asked at all. When omitted, the item set is assumed to be the default item_set of the instrument used. The intended producer is the form compiler or collection server, which populates this list from the form definition at submission time.",,draft,,,,
fcs_staples_days,integer,single,"Number of days in the past seven during which any member of the household consumed staple cereals, roots, and tubers. Part of the WFP Food Consumption Score (FCS).",,draft,,food_security,,"wfp_fcs, wfp_cari"
fcs_pulses_days,integer,single,"Number of days in the past seven during which any member of the household consumed pulses, legumes, or nuts (including groundnuts, cashews, and other nuts). Part of the WFP Food Consumption Score (FCS).",,draft,,food_security,,"wfp_fcs, wfp_cari"
fcs_vegetables_days,integer,single,Number of days in the past seven during which any member of the household consumed vegetables and green leaves. Part of the WFP Food Consumption Score (FCS).,,draft,,food_security,,"wfp_fcs, wfp_cari"
fcs_fruit_days,integer,single,Number of days in the past seven during which any member of the household consumed fruit. Part of the WFP Food Consumption Score (FCS).,,draft,,food_security,,"wfp_fcs, wfp_cari"
